Date;Open;High;Low;Close;Volume;Adj;Close
2010-08-13;21.95;21.95;21.1;21.55;36100;18.79;
2010-08-12;21.65;21.95;21.65;21.8;19900;19.01;
2010-08-11;22.05;22.05;21.6;21.75;14200;18.97;
2010-08-10;22.25;22.45;22;22.05;20500;19.23;
2010-08-09;22.35;22.5;22.05;22.15;82800;19.32;
2010-08-06;22.5;23.15;22.05;22.1;88900;19.27;
2010-08-05;21.8;22.4;21.8;21.95;31100;19.14;
2010-08-04;22.3;22.3;21.8;21.9;43600;19.1;
2010-08-03;22.25;22.4;22.05;22.15;28000;19.32;
2010-08-02;22.2;22.85;22.05;22.25;44600;19.4;
2010-07-30;22.5;22.55;22;22.05;16700;19.23;
2010-07-29;22.1;23;21.95;22.1;100500;19.27;
2010-07-28;22.35;22.9;22;22.05;54200;19.23;
2010-07-27;22.35;23.15;22.3;22.45;46500;19.58;
2010-07-26;22.9;23;22.35;22.4;7600;19.53;
2010-07-23;23;23.2;22.8;22.85;43800;19.93;
2010-07-22;22.6;22.75;22.25;22.7;13300;19.8;
2010-07-21;23;23.5;22.55;22.65;29200;19.75;
2010-07-20;23.5;24.35;22.95;23.05;15100;20.1;
2010-07-19;23.2;24.4;22.75;23.65;78700;20.62;
2010-07-16;22.6;23.5;22.25;23.05;49000;20.1;
2010-07-15;22.3;22.75;21.85;22.6;37300;19.71;
2010-07-14;22.35;22.8;21.85;22;19400;19.18;
2010-07-13;22.2;22.6;21.95;22.2;15700;19.36;
2010-07-12;22.8;22.95;22.25;22.35;9700;19.49;
2010-07-09;22.55;23;22.25;22.4;15800;19.53;
2010-07-08;22.75;23;22.55;22.6;8900;19.71;
2010-07-07;22.4;23.35;22.4;22.6;45200;19.71;
2010-07-06;22.75;22.75;22.4;22.6;9700;19.71;
2010-07-05;22.7;23.35;22.6;22.65;40600;19.75;
2010-07-02;22.85;23.9;22.7;22.9;9900;19.97;
2010-07-01;22.7;23.2;22.6;22.65;21500;19.75;
2010-06-30;23;23.2;22.8;22.85;11900;19.93;
2010-06-29;23.15;23.5;22.75;22.95;12700;20.01;
2010-06-28;24.15;24.15;23;23.05;29200;20.1;
2010-06-25;23.75;23.95;23.3;23.45;10700;20.45;
2010-06-24;23.1;24.2;23.1;23.35;30900;20.36;
2010-06-23;23;23.9;22.75;23.35;104100;20.36;
2010-06-22;22.5;22.95;21.8;22.8;55800;19.88;
2010-06-21;22.2;22.5;21.5;22.05;37600;19.23;
2010-06-18;22.5;22.7;21.75;21.8;11700;19.01;
2010-06-17;22.75;22.75;22.05;22.4;7000;19.53;
2010-06-16;22.85;22.9;22.3;22.4;11700;19.1;
2010-06-15;22.75;22.75;22.05;22.6;8900;19.27;
2010-06-14;22.25;22.35;22;22.3;13200;19.01;
2010-06-11;22.25;23.5;21.6;22.2;42300;18.93;
2010-06-10;22.45;22.45;21.25;21.55;14200;18.37;
2010-06-09;21.3;22.15;21.3;21.9;12900;18.67;
2010-06-08;21.3;22.25;21.3;22.05;39300;18.8;
2010-06-07;21;21.3;20.75;21.2;5600;18.07;
2010-06-04;21.2;21.75;21.2;21.5;22600;18.33;
2010-06-03;20.8;21.25;20.65;20.95;5800;17.86;
2010-06-02;21.4;21.4;20.7;21;13300;17.9;
2010-06-01;20.75;21.45;20.7;20.9;20500;17.82;
2010-05-31;21.5;21.5;20.75;20.9;14900;17.82;
2010-05-28;21;21.85;20.7;21.25;59400;18.12;
2010-05-27;21.2;21.5;20.45;20.65;24200;17.61;
2010-05-26;21.9;22.35;20.85;21.1;29800;17.99;
2010-05-25;22;22.25;21.05;21.4;9700;18.25;
2010-05-24;22.3;22.9;21.55;22.15;74100;18.88;
2010-05-21;22;23;21.75;21.95;14300;18.71;
2010-05-20;23;23.85;22.5;22.65;15000;19.31;
2010-05-19;23.75;24.1;23;23.15;16600;19.74;
2010-05-18;24.05;24.95;23.4;24.1;56700;20.55;
2010-05-17;24;24.45;22.5;24.05;71300;20.5;
2010-05-14;24.5;26;23.5;23.95;93400;20.42;
2010-05-13;24.3;24.45;23.9;24.05;28900;20.5;
2010-05-12;23.8;24.75;23.8;23.85;29200;20.33;
2010-05-11;24.3;24.4;23.85;24;13800;20.46;
2010-05-10;24;24.5;23.5;24.3;23700;20.72;
2010-05-07;24;24;23.1;23.55;14600;20.08;
2010-05-06;24.35;24.75;24;24.1;42100;20.55;
2010-05-05;25;25;23.6;24.25;39900;20.67;
2010-05-04;26.8;26.8;25.1;25.25;25200;21.53;
2010-05-03;26.9;26.9;26;26.05;13900;22.21;
2010-04-30;26.5;26.85;26.2;26.45;19400;22.55;
2010-04-29;26.05;26.85;25.5;26.4;19400;22.51;
2010-04-28;27.1;27.35;26.05;26.35;44800;22.47;
2010-04-27;28;28.3;27.35;27.45;26300;23.4;
2010-04-26;28.6;28.65;28;28.05;43300;23.91;
2010-04-23;28.8;29;27.8;28.15;36900;24;
2010-04-22;28.4;29.4;27.15;28.6;80200;24.38;
2010-04-21;28.3;28.85;28.15;28.3;60500;24.13;
2010-04-20;28.6;28.85;28;28.15;46800;24;
2010-04-19;27.75;28.75;27;28.3;144900;24.13;
2010-04-16;27.5;27.7;26.8;27.05;70600;23.06;
2010-04-15;29.75;29.75;27.75;28.1;60100;23.96;
2010-04-13;29.5;30.5;29.15;29.4;143000;25.07;
2010-04-12;31.25;31.7;29.5;30.2;966500;25.75;
2010-04-09;25.45;30.05;25;29.4;391800;25.07;
2010-04-08;25.7;25.8;24.85;25.05;29100;21.36;
2010-04-07;25.6;26.2;25.25;25.4;42100;21.66;
2010-04-06;25.55;25.7;25.4;25.5;29700;21.74;
2010-04-05;25.2;26.8;25.2;25.5;54700;21.74;
2010-04-01;25.65;26.4;25.5;25.7;20900;21.91;
2010-03-31;25.8;26.75;25.7;26;60700;22.17;
2010-03-30;25.1;26.2;25.1;26;68600;22.17;
2010-03-29;26.4;26.75;24.25;24.6;134300;20.97;
2010-03-26;27.4;27.4;25.55;26.15;43700;22.29;
2010-03-25;26;27.25;25.5;26.85;106200;22.89;
2010-03-23;25.5;26.75;25.5;26.05;49400;22.21;
2010-03-22;26.2;26.2;24.85;25.1;26400;21.4;
