Date;Open;High;Low;Close;Volume;Adj;Close
2008-11-17;35;35.88;34.76;35.29;12400;20.76;
2008-11-14;35.32;37.65;35.32;35.32;5200;20.78;
2008-11-13;37.06;37.06;37.06;37.06;0;21.8;
2008-11-12;36.06;37.06;35.35;37.06;400;21.8;
2008-11-11;38.18;38.24;35;35.88;6700;21.11;
2008-11-10;35.97;36.47;35.59;36.44;16400;21.44;
2008-11-07;34.12;37.56;34.12;37.56;1500;22.09;
2008-11-06;35.59;37.59;34.29;34.41;3200;20.24;
2008-11-05;35.94;36.18;35.29;35.88;15000;21.11;
2008-11-04;35;37.03;35;37.03;500;21.78;
2008-11-03;36.44;36.44;34.79;35.59;6200;20.93;
2008-10-31;33.18;34.88;32.09;34.88;4300;20.52;
2008-10-30;33.24;33.24;33.24;33.24;0;19.55;
2008-10-29;33.15;33.24;33.15;33.24;800;19.55;
2008-10-28;32.88;32.94;32.88;32.94;900;19.38;
2008-10-27;31.76;31.88;31.71;31.71;18000;18.65;
2008-10-24;34.12;34.71;33.35;33.35;9100;19.62;
2008-10-23;35.06;37;34.71;34.71;9600;20.42;
2008-10-22;36.18;37.65;35.32;37.65;900;22.15;
2008-10-21;36.5;36.5;36.47;36.47;900;21.45;
2008-10-20;35.29;37.06;35.29;37.06;6800;21.8;
2008-10-17;36.32;38.15;36.32;36.47;20800;21.45;
2008-10-16;36.47;37.65;35.82;36.35;10300;21.38;
2008-10-15;38.82;39.35;37.65;37.65;10100;22.15;
2008-10-14;37.71;37.94;36.47;37.44;8800;22.02;
2008-10-13;37.62;37.68;35.29;36.15;12000;21.26;
2008-10-10;35.88;35.88;35.88;35.88;600;21.11;
2008-10-09;39.29;39.29;39.29;39.29;0;23.11;
2008-10-08;37.32;39.29;37.32;39.29;3700;23.11;
2008-10-07;39.41;39.41;37.68;39.38;900;23.17;
2008-10-06;39.32;39.97;39.32;39.32;300;23.13;
2008-10-03;40.88;42.53;40.88;41.18;6900;24.22;
2008-10-02;41.26;41.26;41.26;41.26;0;24.27;
2008-10-01;40.65;42.32;40.29;41.26;6100;24.27;
2008-09-30;40.03;42.32;40.03;42.32;900;24.9;
2008-09-29;41.85;42.35;41.79;42.06;5100;24.74;
2008-09-26;43.82;45.29;43.68;43.68;4700;25.69;
2008-09-25;47.03;47.03;44.41;46.15;2900;27.15;
2008-09-24;44.12;45.94;44.12;45.94;12000;27.02;
2008-09-23;42.68;44.62;42.09;44.06;9200;25.92;
2008-09-22;42.94;43.62;42.65;42.94;2000;25.26;
2008-09-19;43.5;43.53;42.18;42.18;8600;24.81;
2008-09-18;42.5;42.5;41.56;41.56;6700;24.45;
2008-09-17;42.35;45.38;42.35;43.59;4600;25.64;
2008-09-16;43.44;44.71;43.44;43.44;1800;25.55;
2008-09-15;44.68;47.18;44.68;45.71;1300;26.89;
2008-09-12;46.56;47;45.29;47;400;27.65;
2008-09-11;47.65;47.65;46;46.56;700;27.39;
2008-09-10;47.06;47.97;45.88;45.88;14600;26.99;
2008-09-09;45.91;47.06;45.91;46.62;6800;27.42;
2008-09-08;46.26;47.65;46.26;46.79;5000;27.53;
2008-09-05;46.32;47.06;46.18;47.06;2600;27.68;
2008-09-04;47.12;47.15;46.47;47.06;6100;27.68;
2008-09-03;48.79;48.79;48.79;48.79;0;28.7;
2008-09-02;46.15;49.41;46.15;48.79;4600;28.7;
2008-09-01;47.65;48.82;46.53;47.09;7700;27.7;
2008-08-29;45.09;47.06;45.09;47.06;800;27.68;
2008-08-28;45.94;46.76;45.88;46.47;1200;27.34;
2008-08-27;47.26;48.21;46.47;48.21;500;28.36;
2008-08-26;47.06;48.24;47.06;47.24;200;27.79;
2008-08-25;50.88;50.88;47.85;49.26;500;28.98;
2008-08-22;49.94;49.94;46.47;49.68;2000;29.22;
2008-08-21;50;50;47.26;48.09;3500;28.29;
2008-08-20;47.09;50;47.09;48.71;8200;28.65;
2008-08-19;50.59;50.59;46.26;48.18;9300;28.34;
2008-08-18;51.18;51.18;48.24;48.76;5000;28.69;
2008-08-15;48.03;48.03;48.03;48.03;0;28.25;
2008-08-14;47.65;50;47.65;48.03;2700;28.25;
2008-08-13;48.24;50.59;48.24;49.41;2800;29.07;
2008-08-12;48.82;51.76;48.82;50;3500;29.41;
2008-08-11;48.97;52;48.97;49.79;23800;29.29;
2008-08-08;48.24;52.21;48.24;50.59;16600;29.76;
2008-08-07;52;52.06;48.35;49.12;11900;28.89;
2008-08-06;53.71;53.82;50.59;51.32;21700;30.19;
2008-08-05;51.18;56.47;50.74;51.59;87700;30.35;
2008-08-04;46.59;50.59;46.59;48.29;24400;28.41;
2008-08-01;43.53;47.94;43.53;46.56;12700;27.39;
2008-07-31;44.41;46.71;43;45.85;19500;26.97;
2008-07-30;44.97;45.18;42.65;43.38;6400;25.52;
2008-07-29;43.53;43.53;41.76;43.38;3500;25.52;
2008-07-28;42.94;46.44;42.41;44.47;43400;26.16;
2008-07-25;41.74;42.94;40.59;41.38;3400;24.34;
2008-07-24;39.44;42.06;39.41;41.65;8600;24.5;
2008-07-23;40.26;42.35;39.35;39.71;5000;23.36;
2008-07-22;32.38;38.29;32.38;38.29;2000;22.53;
2008-07-21;35.47;37.65;35.47;36.35;1600;21.38;
